latitude,longitude
17.43409,78.41619
17.43414,78.41611
17.43419,78.41601
17.43424,78.41589
17.43429,78.41574
17.43434,78.41555
17.43439,78.41537
17.4345,78.41492
17.4346,78.41453
17.43467,78.41426
17.43468,78.41421
17.43468,78.41421
